step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
68,4.9293,3.8997,77.86,0.000237,0.00029,4.6e-05,predict,,,,,
68,4.929,3.8995,77.86,0.000235,,,obs_L0,0,2.66,-212.87,0.000237,0.000235
68,4.9291,3.9005,77.87,0.000233,,,obs_L1,1,1.088,-73.17,0.000235,0.000233
68,4.9293,3.9009,77.86,0.00023,,,obs_L2,2,4.197,55.99,0.000233,0.00023
68,4.9292,3.9011,77.87,0.00023,,,obs_L3,3,4.26,-121.38,0.00023,0.00023
68,4.9286,3.9004,77.88,0.000226,,,obs_L4,4,4.188,10.47,0.00023,0.000226
69,4.9495,3.9978,79.02,0.000234,0.000281,4.6e-05,predict,,,,,
69,4.9491,3.9972,79.03,0.000232,,,obs_L0,0,2.719,-213.7,0.000234,0.000232
69,4.9492,3.9975,79.03,0.00023,,,obs_L1,1,1.048,-79.07,0.000232,0.00023
69,4.9493,3.9976,79.03,0.000226,,,obs_L2,2,4.193,55.67,0.00023,0.000226
69,4.9493,3.9972,79.02,0.000226,,,obs_L3,3,4.218,-122.79,0.000226,0.000226
69,4.9497,3.9974,79.01,0.000223,,,obs_L4,4,3.994,10.85,0.000226,0.000223
70,4.9688,4.0959,80.14,0.00023,0.000272,4.6e-05,predict,,,,,
70,4.9689,4.0961,80.13,0.000229,,,obs_L0,0,2.896,-213.09,0.00023,0.000229
70,4.9688,4.0962,80.14,0.000226,,,obs_L1,1,1.065,-85.54,0.000229,0.000226
70,4.9693,4.0964,80.12,0.000222,,,obs_L2,2,4.182,56.22,0.000226,0.000222
70,4.9693,4.0964,80.12,0.000222,,,obs_L3,3,4.346,-125.46,0.000222,0.000222
70,4.9697,4.0966,80.1,0.000219,,,obs_L4,4,3.895,10.15,0.000222,0.000219
71,4.9869,4.1952,81.26,0.000226,0.000264,4.6e-05,predict,,,,,
71,4.9868,4.1953,81.25,0.000225,,,obs_L0,0,2.929,-212.4,0.000226,0.000225
71,4.9874,4.1971,81.26,0.000221,,,obs_L1,1,1.032,-93.29,0.000225,0.000221
71,4.9871,4.1969,81.27,0.000218,,,obs_L2,2,4.1,55.08,0.000221,0.000218
71,4.987,4.1972,81.28,0.000218,,,obs_L3,3,4.438,-128.44,0.000218,0.000218
71,4.9863,4.1971,81.3,0.000214,,,obs_L4,4,3.778,7.34,0.000218,0.000214
72,5.0013,4.2952,82.45,0.000222,0.000257,4.7e-05,predict,,,,,
72,5.0012,4.2947,82.47,0.000221,,,obs_L0,0,3.024,-214.94,0.000222,0.000221
72,5.0015,4.2943,82.47,0.000217,,,obs_L1,1,0.964,-98.68,0.000221,0.000217
72,5.0017,4.2943,82.46,0.000214,,,obs_L2,2,4.077,55.74,0.000217,0.000214
72,5.0018,4.2942,82.46,0.000213,,,obs_L3,3,4.41,-130.25,0.000214,0.000213
72,5.0014,4.2941,82.48,0.00021,,,obs_L4,4,3.702,6.84,0.000213,0.00021
73,5.0145,4.3934,83.63,0.000218,0.000252,4.7e-05,predict,,,,,
73,5.0148,4.394,83.62,0.000217,,,obs_L0,0,3.206,-213.18,0.000218,0.000217
73,5.015,4.3942,83.62,0.000213,,,obs_L1,1,1.052,-105.58,0.000217,0.000213
73,5.0143,4.3937,83.65,0.000209,,,obs_L2,2,3.992,54.36,0.000213,0.000209
73,5.0143,4.3938,83.65,0.000209,,,obs_L3,3,4.511,-132.73,0.000209,0.000209
73,5.0143,4.3941,83.66,0.000206,,,obs_L4,4,3.553,6.4,0.000209,0.000206
74,5.0253,4.4928,84.79,0.000213,0.00025,4.7e-05,predict,,,,,
74,5.0257,4.4935,84.78,0.000213,,,obs_L0,0,3.304,-213.47,0.000213,0.000213
74,5.0257,4.4932,84.77,0.000209,,,obs_L1,1,1.066,-111.46,0.000213,0.000209
74,5.0262,4.4932,84.76,0.000205,,,obs_L2,2,3.996,56.12,0.000209,0.000205
74,5.0262,4.4933,84.77,0.000205,,,obs_L3,3,4.594,-134.77,0.000205,0.000205
74,5.0263,4.4932,84.76,0.000201,,,obs_L4,4,3.538,5.83,0.000205,0.000201
75,5.0354,4.593,85.91,0.000209,0.000251,4.7e-05,predict,,,,,
75,5.0356,4.5934,85.9,0.000209,,,obs_L0,0,3.343,-213.65,0.000209,0.000209
75,5.0357,4.5941,85.91,0.000205,,,obs_L1,1,1.188,-117.93,0.000209,0.000205
75,5.0359,4.5939,85.91,0.000202,,,obs_L2,2,3.936,55.78,0.000205,0.000202
75,5.0357,4.5944,85.92,0.000202,,,obs_L3,3,4.765,-136.82,0.000202,0.000202
75,5.0356,4.594,85.91,0.000198,,,obs_L4,4,3.491,4.74,0.000202,0.000198
76,5.0428,4.6938,87.06,0.000206,0.000254,4.7e-05,predict,,,,,
76,5.0426,4.6936,87.07,0.000205,,,obs_L0,0,3.349,-214.49,0.000206,0.000205
76,5.0426,4.6933,87.07,0.000202,,,obs_L1,1,1.169,-122.81,0.000205,0.000202
76,5.0425,4.6931,87.07,0.000199,,,obs_L2,2,3.841,55.43,0.000202,0.000199
